"id";"status";"name";"category_id";"cover_img";"images";"barcodes";"tmall_ids";"jd_ids";"yhd_ids";"tags";"last_updated";"created_at";"operator_id";"brand";"price";"spec";"unit";"thumbnails";"is_outdated";"taste";"durability";"sources";"assign_id";"first_verify_at";"search_keyword";"status_v2";"alias_id";"half_verified";"main_barcode";"origin";"cat_by";"half_verify_at";"half_verify_by_id";"last_verify_at";"is_ignored";"half_verify_eager";"brand_fk_id";"qa";"mo"
"15686";"human_verified";"联达牌蜜瓜味双色糖 120克X24罐";"37";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/9556138001811_dd1bcfcbb95349458721560512815201.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/0c342d5b-bb7e-3c78-b261-490da07091bd_ori.jpg,https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/c923a8cc-7c38-3c86-85c2-d30935dc677c_ori.jpg,https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/a7feb0c3-85c6-384f-9071-2e58c03522fe_ori.jpg,https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/9889164e-adb5-3202-8ec2-e1fb00fe4be2_ori.jpg}";"{9556138001811}";"{537612499262,552376263345,547184497659}";"";"";"";"2018-01-17 14:16:47.338665+08";"2017-06-09 16:52:00.680315+08";"81";"联达";"16.8000";"120G";"桶装";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/0c342d5b-bb7e-3c78-b261-490da07091bd.jpg,https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/c923a8cc-7c38-3c86-85c2-d30935dc677c.jpg,https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/a7feb0c3-85c6-384f-9071-2e58c03522fe.jpg,https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/9889164e-adb5-3202-8ec2-e1fb00fe4be2.jpg}";"f";"蜜瓜味";"360";"{32,34,36,1015,3202,3203,3204,3201}";"11208";"2017-06-27 20:49:02.953395+08";"";"verified";"";"t";"9556138001811";"马来西亚";"";"";"";"";"";"";"";"{""category_id"": {""at"": ""2017-10-30 09:33:00+00"", ""by"": ""秦易达"", ""ok"": true}}";"f"
"5147";"human_verified";"北田能量99棒南瓜口味180g";"34";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/4711162821797_8b3c8da629904cba8389a81223cef3a6.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/02bb238b-4315-3749-b489-9999e7886b4a_ori.jpg}";"{4711162821797}";"{}";"{10064739354,13059489156}";"{25879619,46826825}";"";"2018-01-17 14:24:18.401459+08";"2017-06-09 16:52:00.680315+08";"80";"PEITIEN/北田";"11.0000";"180G";"袋";"{https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/02bb238b-4315-3749-b489-9999e7886b4a.jpg}";"f";"南瓜口味";"360";"{32,38,42,1000,1003,1008,1010,20000014,20000013,20000012,47,3202,3203,3204,3201}";"887";"2017-07-02 21:42:05.504422+08";"";"verified";"";"t";"4711162821797";"台湾";"";"";"";"";"";"";"";"";"f"
"111870";"human_verified";"乐一百巧克力曲奇饼干180g";"33";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/9556296202808_04e0fbe76da542ebafb0e78580c91275.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/1d8c6811-db87-36a7-914c-ddbbc8e03cd4_ori.jpg}";"{9556296202808}";"{530681124620,532614267851,550109618816}";"";"";"";"2018-01-17 14:43:24.71591+08";"2017-07-24 11:48:06.593848+08";"136";"乐一百";"22.5000";"180G";"盒";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/1d8c6811-db87-36a7-914c-ddbbc8e03cd4.jpg}";"t";"巧克力";"";"{32,36,38,42,1002,1011,1013,1015,20000013,20000012,20000014,47,3204,3202,3203,3201}";"";"2017-09-20 17:36:54.10886+08";"";"verified";"";"t";"9556296202808";"马来西亚";"";"";"";"2017-09-20 17:36:53.453616+08";"";"";"";"";"f"
"14736";"human_verified";"糖水黄桃罐头";"48";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/6970167332501_f9957627baf74ca4a7791a5696b5780b.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/0e29c343-bee5-3db8-a023-5b4f993dd2db_ori.jpg}";"{6970167332501}";"{21616995357,523131638680,39489902816,544128034310,545463273053,536749975547,538740418525,552916742013,550902016205,543447579042}";"";"";"";"2018-01-17 13:06:24.966421+08";"2017-06-09 16:52:00.680315+08";"93";"金牌";"12.8000";"822G";"罐装";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/0e29c343-bee5-3db8-a023-5b4f993dd2db.jpg}";"f";"黄桃味";"1080";"{32,3201,3202,3203,3204}";"10380";"2017-06-27 18:05:58.640791+08";"";"verified";"";"t";"6970167332501";"中国";"";"";"";"";"";"";"";"{""category_id"": {""at"": ""2017-10-20 06:00:00+00"", ""by"": ""秦易达"", ""ok"": true}}";"f"
"3353";"human_verified";"椰树火山岩饮用天然矿泉水342ml";"21";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/6901347880994_1def9b6500f547828d5b5a930463ad23.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/0a273df6-edaa-33bd-bea7-b2150dfbc05e_ori.jpg}";"{6901347880994}";"{544964220226,545024576000,534832826247,26342880223,9962732496,539395639484}";"{12803675283,12693593629,11140689546,10052584069,11199351212,1461987920,10114444225,1087473231,10168111716}";"{74620599,65381471}";"";"2018-01-17 12:30:59.206833+08";"2017-05-19 18:14:44.950746+08";"";"椰树";"2.8000";"342ML";"瓶";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/0a273df6-edaa-33bd-bea7-b2150dfbc05e.jpg}";"f";"";"360";"{32,38,1002,1008,1010,20000012,20000014,20000013,3202,3201,3203,3204}";"";"2017-06-02 18:27:30.11971+08";"";"verified";"";"t";"6901347880994";"中国";"";"";"";"";"";"";"";"{""category_id"": {""at"": ""2017-10-20 06:00:00+00"", ""by"": ""秦易达"", ""ok"": true}}";"f"
"15729";"human_verified";"曼仕比马铃薯曲奇饼干90克";"33";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/9556296314136_408477dd3a18475a99c683afe112f812.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/dfd0339e-3898-344b-b62b-538b638a719b_ori.jpg}";"{9556296314136}";"{20154960151,539919387869,529198926932,539919431550,539919351622}";"";"";"";"2018-01-17 14:42:24.663917+08";"2017-06-09 16:52:00.680315+08";"12";"曼仕";"10.9000";"90G";"袋";"{https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/dfd0339e-3898-344b-b62b-538b638a719b.jpg}";"f";"马铃薯";"540";"{32,36,38,41,1008,1011,1013,20000012,20000014,20000013,3203,3202,3204,3201}";"";"2017-06-14 14:09:30.579802+08";"";"verified";"";"t";"9556296314136";"马来西亚";"";"";"";"";"";"";"";"";"f"
"11709";"human_verified";"米老头多谷果子夹心米果海苔味160g";"34";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/6934364807248_d0546cd0960f46808b292331eac51b18.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/e78913a3-793d-3934-82d2-65c16e62b383_ori.jpg}";"{6934364807248}";"{39944168327,541348969916,545370788457,521265066756,551110543722,38888555719}";"{10742277086,10711861493}";"";"";"2018-01-17 14:23:52.059232+08";"2017-06-09 16:52:00.680315+08";"90";"米老头";"8.0000";"160G";"袋装";"{https://s3.cn-north-1.amazonaws.com.cn/cmb/store_item/e78913a3-793d-3934-82d2-65c16e62b383.jpg}";"f";"海苔味";"270";"{32,35,1000,1003,10001,1010,1013,1014,1015,20000012,20000014,20000013,3202,3203,3204,3201}";"7369";"2017-07-02 18:22:58.680566+08";"";"verified";"";"t";"6934364807248";"中国";"";"";"";"";"";"";"";"";"f"
"15748";"human_verified";"马来西亚妙妙虾味片50g";"34";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/9556345011368_298be43e118c4131961a1d1356036cf6.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/17584ba4-623d-30ad-ba09-1f5a95268699_ori.jpg}";"{9556345011368}";"{19319254013,19791137497}";"";"";"";"2018-01-17 14:23:30.429633+08";"2017-06-09 16:52:00.680315+08";"119";"妙妙";"8.8000";"50G";"袋";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/17584ba4-623d-30ad-ba09-1f5a95268699.jpg}";"f";"原味";"360";"{32,38,43,1015,20000012,20000014,20000013,3203,3202,3204,3201}";"";"2017-06-09 19:53:54.730678+08";"";"verified";"";"t";"9556345011368";"马来西亚";"";"";"";"";"";"";"";"{""category_id"": {""at"": ""2017-10-30 09:33:00+00"", ""by"": ""王帅"", ""ok"": true}}";"f"
"110881";"human_verified";"皇家巧克力威化卷130g";"250";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/8858223010830_1bee82a42a8349408540b74848d05832.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/2d3790d3-bc76-3e19-93da-27d4437af75f_ori.jpg}";"{8858223010830}";"{532539162099,553624291712}";"{10705159966,12442174471,15203328741}";"{63818658}";"";"2018-01-17 13:06:19.198317+08";"2017-07-24 11:48:06.593848+08";"135";"皇家";"20.0000";"130G";"个";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/2d3790d3-bc76-3e19-93da-27d4437af75f.jpg}";"f";"巧克力味";"";"{32,36,38,1015,47,3201,3202,3203,3204}";"";"2017-08-23 14:53:22.898797+08";"";"verified";"";"t";"8858223010830";"泰国";"";"";"";"2017-08-23 14:53:22.691974+08";"";"";"";"";"f"
"13029";"human_verified";"恒大冰泉长白山矿泉水1.25L";"21";"https://motse-1253578860.cos.ap-beijing.myqcloud.com/goods/6943052100127_123c1042ad354c0cb3d5e61dae396fc4.jpg";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/13cf494c-e149-3d69-bb22-01b226b6a712_ori.jpg}";"{6943052100127}";"{543474507537,545995941358,549120298571,45333466824,549237905576,542942159178,537768919841,545218521434,37423497905,37471101724,37952300625}";"{12593361549,1156968131}";"{44108302,58392618}";"";"2018-01-17 10:13:14.487129+08";"2017-06-09 16:52:00.680315+08";"74";"恒大";"3.3000";"1.25L";"瓶装";"{https://s3.cn-north-1.amazonaws.com.cn/standard/store_item/13cf494c-e149-3d69-bb22-01b226b6a712.jpg}";"f";"原味";"530";"{32,34,35,36,38,42,1000,1002,10004,1015,20000012,20000014,20000013,47,3202,3203,3204}";"8687";"2017-06-29 14:26:16.490347+08";"";"verified";"";"t";"6943052100127";"中国";"";"";"";"";"";"";"";"{""category_id"": {""at"": ""2017-10-20 06:00:00+00"", ""by"": ""秦易达"", ""ok"": true}}";"f"
